day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:29.63,3.1,4.25,2.53,2.18
0,00:03:29.65,2.76,4.48,2.41,1.95
0,00:03:29.67,2.99,4.14,2.99,1.72
0,00:03:29.69,2.99,4.25,2.53,1.95
0,00:03:29.71,2.99,4.25,2.41,1.84
0,00:03:29.73,2.64,4.14,2.3,1.61
0,00:03:29.75,2.99,4.14,2.41,1.72
0,00:03:29.78,2.76,3.91,2.18,1.84
0,00:03:29.80,3.22,4.25,2.18,1.95
0,00:03:29.82,2.64,4.37,2.41,1.49
0,00:03:29.84,2.76,4.25,2.18,1.84
0,00:03:29.86,2.76,4.37,2.3,1.72
0,00:03:29.88,3.1,4.37,2.64,1.84
0,00:03:29.90,2.53,4.02,2.3,1.84
0,00:03:29.92,2.53,4.25,2.64,1.84
0,00:03:29.94,2.76,4.48,2.41,1.72
0,00:03:29.97,3.1,4.02,1.95,1.72
0,00:03:29.99,2.99,4.02,2.64,1.95
0,00:03:30.01,2.53,4.14,2.41,1.72
0,00:03:30.03,3.1,4.02,2.3,1.95
0,00:03:30.05,2.87,4.02,2.41,2.07
0,00:03:30.07,2.64,4.02,2.3,2.07
0,00:03:30.09,2.99,4.02,2.3,1.84
0,00:03:30.11,2.87,4.14,2.3,1.84
0,00:03:30.13,2.64,4.14,2.3,1.84
0,00:03:30.16,2.76,4.14,2.41,1.49
0,00:03:30.18,2.87,3.91,2.64,1.95
0,00:03:30.20,2.87,4.25,2.41,1.72
0,00:03:30.22,2.76,4.25,2.3,1.61
0,00:03:30.24,2.76,4.02,2.3,1.95
0,00:03:30.26,2.76,4.02,2.18,1.72
0,00:03:30.28,2.87,4.25,2.64,2.07
0,00:03:30.30,2.99,4.02,2.64,1.84
0,00:03:30.32,2.87,4.02,1.95,1.95
0,00:03:30.34,2.76,4.25,2.3,1.72
0,00:03:30.36,2.87,4.25,2.07,1.95
0,00:03:30.39,2.76,4.37,2.3,1.72
0,00:03:30.41,3.1,4.14,2.41,1.95
0,00:03:30.43,2.76,3.91,2.3,1.95
0,00:03:30.45,3.1,4.14,2.3,1.95
0,00:03:30.47,3.33,4.37,2.41,1.72
0,00:03:30.49,2.87,4.25,2.18,1.84
0,00:03:30.51,2.99,4.25,2.76,1.95
0,00:03:30.53,2.87,4.14,2.3,2.07
0,00:03:30.56,2.99,4.25,2.41,1.95
0,00:03:30.58,2.99,3.91,2.3,1.84
0,00:03:30.60,2.87,4.37,2.18,2.07
0,00:03:30.62,2.99,4.48,2.07,2.07
0,00:03:30.64,2.87,4.6,2.18,1.84
0,00:03:30.66,2.99,4.14,2.64,2.18
0,00:03:30.68,2.99,4.25,2.41,2.07
0,00:03:30.70,2.87,4.14,2.3,1.84
0,00:03:30.72,2.87,4.14,2.3,1.95
0,00:03:30.74,2.76,4.37,2.3,1.49
0,00:03:30.76,2.87,4.14,2.41,1.95
0,00:03:30.79,2.64,4.14,2.07,1.84
0,00:03:30.81,2.64,4.02,2.53,2.18
0,00:03:30.83,2.76,4.14,2.18,1.72
0,00:03:30.85,2.87,4.02,2.07,1.84
0,00:03:30.87,2.76,3.79,2.07,1.61
0,00:03:30.89,2.53,3.91,2.41,1.72
0,00:03:30.91,2.99,4.14,2.07,2.07
0,00:03:30.93,2.64,3.91,2.3,1.84
0,00:03:30.95,2.41,3.45,2.07,1.95
0,00:03:30.98,1.84,4.14,1.72,1.72
0,00:03:31.00,0.23,4.25,-0.34,1.95
